item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2024.PB15.2,"6 and 8 Cawthra Square - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2024.PB16.11,"64 Woodlawn Avenue West - Refusal of Repeal of Designating By-law under Section 32 of the Ontario Heritage Act and Proposed Amendment to Designating By-law under Part IV, Section 30.1 of the Ontario Heritage Act",False,,,,,,False,
2024.PB16.12,"36-42 Maitland Street - Alterations to Heritage Properties, Demolition of Attributes and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2024.PB16.13,"68 Wellesley Street East - Refusal of Application for Alterations to Designated Heritage Properties Under Part IV, Section 33 of the Ontario Heritage Act",False,,,,,,False,
2024.PB16.14,"650 (650A and 652) and 664 Yonge Street - Alterations to Heritage Properties, Demolition of Attributes and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2024.PB16.16,"374, 376 and 378 Yonge Street - Approval of Application for Alterations to Designated Heritage Properties Under Part IV, Section 33 of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2024.PB16.6,"294, 306 and 318 Lawrence Avenue East and 101 Mildenhall Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2024.PB16.8,4888 Dundas Street West - Alteration of a Property Designated under Part IV of the Ontario Heritage Act and Authority to Enter into a Heritage Easement Agreement - Request for Directions,False,,,,,,False,
2024.PB16.9,171 Lowther Avenue - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement,False,,,,,,False,
2024.PB18.7,"123 Wynford Drive - Refusal of Application for Alterations to the Attributes and Demolition of a Building and Heritage Attributes on a Designated Heritage Property Under Part IV, Sections 33 and 34 of the Ontario Heritage Act",False,,,,,,False,
2024.PH10.11,Supporting New Long-Term Care Beds in North York,False,,,,,,False,
2024.PH10.12,Technical Corrections to the Multi-tenant Housing Zoning By-law,False,,,,,,False,
2024.PH10.13,Eliminating Education Development Charges on Missing Middle Housing Forms,False,,,,,,False,
2024.PH10.2,New Multi-Tenant Houses Renovation Program to Preserve and Improve Affordable Rental Homes,False,,,,,,False,
2024.PH11.10,Response to Including New Approval Conditions for Rental Demolition Applications,False,,,,,,False,
2024.PH11.13,"1111 Danforth Avenue - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",False,,,,,,False,
2024.PH11.2,Our Plan Toronto: Official Plan Chapter One - Decision Report - Approval,False,,,,,,False,
2024.PH11.8,RentSafeTO Program Update Report,False,,,,,,False,
2024.PH11.9,Short-Term Rental By-law Implementation Update,False,,,,,,False,
2024.PH12.1,"Update Downsview: Secondary Plan, Zoning By-law, Urban Design Guidelines and Master Environmental Servicing Plan - Final Report",False,,,,,,False,
2024.PH12.3,Expanding Housing Options in Neighbourhoods: Major Streets Study - Final Report,False,,,,,,False,
2024.PH12.7,"City Comments on Proposed Bill 185 - Cutting Red Tape to Build More Homes Act, 2024, Provincial Planning Statement 2024, and New Minister Zoning Order Framework",False,,,,,,False,
2024.PH12.8,Request a Review of Zoning Regulations to Restrict Outdoor Parking of Commercially Licensed Vehicles on Private Property in Residential Areas,False,,,,,,False,
2024.PH13.2,Villiers Island Precinct - City-Initiated Official Plan and Zoning By-law Amendment - Decision Report - Approval,False,,,,,,False,
