item_id,agenda_item_title,linked_via,link_confidence,side,beneficiary_context
2024.TE17.8,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval",identity+address,org_key_merge,developer,Bousfields Inc.; CP REIT Ontario Properties Limited
2025.CC32.20,"220, 230 and 240 Lake Promenade and 21 and 31 Park Boulevard - Ontario Land Tribunal Hearing - Request for Directions",address,street_type_matched,developer,Compten Management Inc.; The Lake Promenade Co-Tenancy; The Lake Promenade Co-Tenancy
2025.CC34.4,2 Tippett Road - Ontario Land Tribunal Hearing - Request for Directions,address,street_type_matched,developer,Urban Capital (Tippett) Inc.
2025.EY23.1,3406-3434 Weston Road - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,identity+address,org_key_merge,developer,Bousfields Inc.; ICON Architects Inc.; Pinemount Developments Ltd.
2025.EY26.2,1138 Islington Avenue - Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,MHBC Planning
2025.EY26.4,3418 Lake Shore Boulevard West and 0 Skeens Lane - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,Weston Consulting
2025.MM32.44,"250 Wincott Drive - Request for City Solicitor to Attend at the Ontario Land Tribunal - by Councillor Stephen Holyday, seconded by Councillor Parthi Kandavel",address,street_type_matched,developer,Trinity Development Group Inc.; ; ; Trinity Development Group; Trinity Development Group Inc.
2025.NY22.1,1 Broadlands Boulevard - Zoning By-law Amendment Application- Decision Report - Approval,identity+address,org_key_merge,developer,12723638 Canada Ltd.; The Planning Agency Inc.
2025.NY25.8,1410 Eglinton Avenue West - Zoning By-law Amendment - Appeal Report,identity,org_key_merge,developer,MHBC Planning
2025.PH18.16,"3100 Weston Road - Notice of Intention to Designate a Property under Part IV, Section 29 of the Ontario Heritage Act",address,street_type_matched,developer,AvranceCorp Developments; AvranceCorp Developments; 
2025.PH20.1,7-9 Wardlaw Crescent - City-Initiated Zoning By-law Amendment - Decision Report - Approval,identity,org_key_merge,developer,Montgomery Sisam Architects Inc.
2025.PH20.4,1 Dundas Street East: Amendments to the Sign By-law,address,street_type_matched,developer,
2025.SC20.1,2759 and 2761 to 2763 Kingston Road and 52 St Quentin Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,address,street_type_matched,developer,
2025.SC23.1,"2823, 2825, 2827 and 2829 Eglinton Avenue East - Zoning By-law Amendment - Decision Report - Approval",identity+address,org_key_merge,developer,2872136 Ontario Inc; Bousfields Inc.
2025.SC24.1,4610 Finch Avenue East - Zoning By-law Amendment Application - Decision Report - Approval,identity,org_key_merge,developer,Montgomery Sisam Architects Inc.
